rank,state,state_code,2020_census,percent_of_total
1,California,CA,39538223,0.1191
2,Texas,TX,29145505,0.0874
3,Florida,FL,21538187,0.0647
4,,NY,,0.0586
5,Pennsylvania,PA,13002700,0.0386
6,,IL,,0.0382
7,Ohio,OH,11799448,
8,Georgia,GA,10711908,0.032
9,North Carolina,NC,10439388,0.0316
10,Michigan,,10077331,0.0301
11,New Jersey,NJ,9288994,0.0268
12,Virginia,VA,8631393,0.0257
13,,WA,7705281,0.0229
14,Arizona,AZ,7151502,0.0219
15,Massachusetts,MA,7029917,0.0209
16,Tennessee,TN,,0.0206
17,Indiana,IN,6785528,0.0203
18,Maryland,MD,6177224,0.0185
19,,MO,6154913,0.0182
20,Wisconsin,WI,,0.0175
21,Colorado,CO,5773714,0.0174
22,Minnesota,MN,5706494,0.017
23,,SC,5118425,0.0155
24,Alabama,AL,5024279,0.0148
25,Louisiana,LA,4657757,0.014
26,,KY,4505836,0.0135
27,Oregon,OR,4237256,0.0127
28,Oklahoma,,3959353,0.0119
29,Connecticut,CT,3605944,0.0107
30,Utah,UT,3205958,0.0097
31,Iowa,,3271616,0.0095
32,Nevada,NV,3104614,0.0093
33,Arkansas,AR,3011524,0.0091
34,Mississippi,,2961279,0.009
35,Kansas,KS,2937880,0.0088
36,New Mexico,NM,2117522,0.0063
37,Nebraska,NE,1961504,0.0058
38,Idaho,ID,1839106,0.0054
39,West Virginia,WV,1793716,0.0054
40,Hawaii,HI,1455271,0.0043
41,New Hampshire,NH,1377529,0.0041
42,Maine,ME,1362359,
43,Rhode Island,RI,1097379,0.0032
44,,MT,1084225,0.0032
45,Delaware,DE,989948,0.0029
46,South Dakota,SD,886667,0.0027
47,North Dakota,ND,779094,0.0023
48,Alaska,AK,733391,0.0022
49,DC,DC,689545,0.0021
50,Vermont,VT,643077,0.0019
51,Wyoming,WY,576851,0.0017
